Canton,Nationalité,Mois,Janvier 2017,Janvier 2017,Janvier 2017,Janvier 2017,Février 2017,Février 2017,Février 2017,Février 2017,Mars 2017,Mars 2017,Mars 2017,Mars 2017,Avril 2017,Avril 2017,Avril 2017,Avril 2017,Mai 2017,Mai 2017,Mai 2017,Mai 2017,Juin 2017,Juin 2017,Juin 2017,Juin 2017,Juillet 2017,Juillet 2017,Juillet 2017,Juillet 2017,Août 2017,Août 2017,Août 2017,Août 2017,Septembre 2017,Septembre 2017,Septembre 2017,Septembre 2017
 , ,Mesures,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Chômeurs inscrits,Entrées au chômage,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Soleure,Suisses,,2'590,678,3'950,1'360,2'507,522,3'900,1'393,2'433,581,3'897,1'464,2'381,523,3'765,1'384,2'263,532,3'687,1'424,2'178,480,3'646,1'468,2'269,709,3'760,1'491,2'322,690,3'711,1'389,2'232,580,3'701,1'469
Soleure,Total,,4'744,1'258,7'309,2'565,4'602,994,7'260,2'658,4'420,1'081,7'177,2'757,4'281,957,6'920,2'639,4'074,1'004,6'806,2'732,3'860,904,6'670,2'810,3'900,1'188,6'746,2'846,3'953,1'212,6'657,2'704,3'801,1'032,6'628,2'827
Bâle-Ville,Etrangers,,2'332,442,3'274,942,2'277,346,3'252,975,2'179,332,3'142,963,2'041,282,2'974,933,1'941,329,2'897,956,1'919,352,2'879,960,1'861,293,2'810,949,1'861,403,2'801,940,1'780,337,2'719,939
Bâle-Ville,Suisses,,1'849,390,2'680,831,1'798,282,2'649,851,1'813,318,2'672,859,1'822,294,2'634,812,1'711,284,2'557,846,1'662,256,2'501,839,1'653,290,2'491,838,1'765,490,2'572,807,1'675,279,2'449,774
Bâle-Ville,Total,,4'181,832,5'954,1'773,4'075,628,5'901,1'826,3'992,650,5'814,1'822,3'863,576,5'608,1'745,3'652,613,5'454,1'802,3'581,608,5'380,1'799,3'514,583,5'301,1'787,3'626,893,5'373,1'747,3'455,616,5'168,1'713
Bâle-Campagne,Etrangers,,1'953,362,2'647,694,1'953,325,2'666,713,1'894,306,2'598,704,1'773,250,2'496,723,1'704,291,2'423,719,1'666,276,2'388,722,1'612,256,2'334,722,1'608,306,2'338,730,1'596,294,2'288,692
Bâle-Campagne,Suisses,,2'706,481,3'464,758,2'703,472,3'463,760,2'642,427,3'419,777,2'572,399,3'324,752,2'523,423,3'275,752,2'511,418,3'274,763,2'539,466,3'309,770,2'562,503,3'327,765,2'486,416,3'252,766
Bâle-Campagne,Total,,4'659,843,6'111,1'452,4'656,797,6'129,1'473,4'536,733,6'017,1'481,4'345,649,5'820,1'475,4'227,714,5'698,1'471,4'177,694,5'662,1'485,4'151,722,5'643,1'492,4'170,809,5'665,1'495,4'082,710,5'540,1'458
Schaffhouse,Etrangers,,814,182,1'373,559,798,119,1'375,577,730,110,1'352,622,689,113,1'298,609,684,146,1'289,605,645,114,1'231,586,621,126,1'154,533,609,143,1'145,536,595,101,1'122,527
Schaffhouse,Suisses,,773,177,1'280,507,810,155,1'301,491,790,150,1'338,548,747,127,1'296,549,757,144,1'306,549,744,145,1'276,532,701,131,1'211,510,700,183,1'257,557,691,120,1'206,515
