Canton,Nationalité,Mois,Janvier 2017,Janvier 2017,Janvier 2017,Janvier 2017,Février 2017,Février 2017,Février 2017,Février 2017,Mars 2017,Mars 2017,Mars 2017,Mars 2017,Avril 2017,Avril 2017,Avril 2017,Avril 2017,Mai 2017,Mai 2017,Mai 2017,Mai 2017,Juin 2017,Juin 2017,Juin 2017,Juin 2017,Juillet 2017,Juillet 2017,Juillet 2017,Juillet 2017,Août 2017,Août 2017,Août 2017,Août 2017,Septembre 2017,Septembre 2017,Septembre 2017,Septembre 2017,Octobre 2017,Octobre 2017,Octobre 2017,Octobre 2017,Total,Total,Total,Total
 , ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Schaffhouse,Etrangers,,7,814,1'373,559,6.8,798,1'375,577,6.3,730,1'352,622,5.9,689,1'298,609,5.9,684,1'289,605,5.5,645,1'231,586,5.3,621,1'154,533,5.2,609,1'145,536,5.1,595,1'122,527,0,0,0,0,5.3,6'185,11'339,5'154
Schaffhouse,Suisses,,2.4,773,1'280,507,2.5,810,1'301,491,2.5,790,1'338,548,2.3,747,1'296,549,2.4,757,1'306,549,2.3,744,1'276,532,2.2,701,1'211,510,2.2,700,1'257,557,2.2,691,1'206,515,0,0,0,0,2.1,6'713,11'471,4'758
Appenzell Rhodes-Extérieures,Etrangers,,4.4,231,372,141,4.2,219,355,136,3.8,198,340,142,3.9,201,340,139,3.7,195,337,142,3.6,187,334,147,3.8,197,334,137,3.4,178,321,143,3.4,179,306,127,0,0,0,0,3.4,1'785,3'039,1'254
Appenzell Rhodes-Extérieures,Suisses,,1.5,379,606,227,1.5,373,600,227,1.4,353,604,251,1.3,338,600,262,1.3,339,578,239,1.3,337,585,248,1.4,346,581,235,1.3,341,574,233,1.4,344,560,216,0,0,0,0,1.2,3'150,5'288,2'138
Appenzell Rhodes-Intérieures,Etrangers,,6.1,71,82,11,5.1,59,72,13,4.3,50,60,10,2.8,32,44,12,2.5,29,40,11,2.5,29,40,11,2.1,24,35,11,2.2,25,36,11,2,23,33,10,0,0,0,0,2.9,342,442,100
Appenzell Rhodes-Intérieures,Suisses,,0.7,58,89,31,0.7,59,89,30,0.6,48,73,25,0.7,54,74,20,0.5,43,68,25,0.6,48,70,22,0.6,44,68,24,0.5,42,70,28,0.5,39,69,30,0,0,0,0,0.6,435,670,235
St-Gall,Etrangers,,5.7,3'845,6'090,2'245,5.5,3'697,5'991,2'294,5.2,3'499,5'809,2'310,4.9,3'293,5'561,2'268,4.6,3'142,5'400,2'258,4.4,2'987,5'266,2'279,4.4,2'953,5'183,2'230,4.5,3'041,5'162,2'121,4.3,2'902,5'079,2'177,0,0,0,0,4.3,29'359,49'541,20'182
St-Gall,Suisses,,1.8,3'752,5'849,2'097,1.7,3'637,5'702,2'065,1.7,3'484,5'627,2'143,1.6,3'392,5'451,2'059,1.5,3'241,5'352,2'111,1.5,3'073,5'343,2'270,1.5,3'101,5'425,2'324,1.6,3'280,5'362,2'082,1.5,3'225,5'284,2'059,0,0,0,0,1.4,30'185,49'395,19'210
Grisons,Etrangers,,5.5,1'242,2'205,963,4.8,1'077,2'151,1'074,4.2,950,2'019,1'069,6.1,1'362,2'134,772,5.2,1'164,1'874,710,2.6,585,1'296,711,2.1,470,1'119,649,1.9,427,1'097,670,2.3,527,1'257,730,0,0,0,0,3.5,7'804,15'152,7'348
Grisons,Suisses,,1,875,1'655,780,0.9,805,1'600,795,0.8,718,1'576,858,1,851,1'585,734,0.9,825,1'516,691,0.8,688,1'375,687,0.7,614,1'311,697,0.7,619,1'292,673,0.7,639,1'333,694,0,0,0,0,0.8,6'634,13'243,6'609
Argovie,Etrangers,,7.1,6'311,8'521,2'210,7,6'236,8'448,2'212,6.7,5'996,8'269,2'273,6.4,5'697,7'938,2'241,6.1,5'449,7'746,2'297,5.9,5'262,7'575,2'313,5.6,4'980,7'323,2'343,5.7,5'062,7'338,2'276,5.6,4'972,7'280,2'308,0,0,0,0,5.6,49'965,70'438,20'473
Argovie,Suisses,,2.3,6'311,8'517,2'206,2.3,6'315,8'522,2'207,2.2,6'102,8'363,2'261,2.2,5'931,8'201,2'270,2.1,5'857,8'077,2'220,2.1,5'768,8'038,2'270,2.1,5'739,7'982,2'243,2.1,5'822,8'002,2'180,2.1,5'712,7'865,2'153,0,0,0,0,1.9,53'557,73'567,20'010
Thurgovie,Etrangers,,5.4,2'050,3'276,1'226,5.4,2'042,3'324,1'282,5.1,1'936,3'283,1'347,4.5,1'731,3'073,1'342,4.2,1'614,2'996,1'382,4,1'516,2'914,1'398,4.1,1'546,2'814,1'268,4,1'540,2'754,1'214,3.9,1'475,2'795,1'320,0,0,0,0,4.1,15'450,27'229,11'779
Thurgovie,Suisses,,1.7,1'917,3'098,1'181,1.7,1'894,3'084,1'190,1.6,1'785,3'085,1'300,1.5,1'691,2'940,1'249,1.5,1'648,2'943,1'295,1.4,1'574,2'884,1'310,1.4,1'580,2'875,1'295,1.5,1'684,2'867,1'183,1.4,1'583,2'823,1'240,0,0,0,0,1.4,15'356,26'599,11'243
Tessin,Etrangers,,6.5,3'305,5'137,1'832,6.4,3'226,5'078,1'852,5.7,2'891,4'728,1'837,5,2'549,4'247,1'698,4.7,2'365,4'071,1'706,4.5,2'285,3'944,1'659,4.4,2'206,3'836,1'630,4.5,2'279,3'930,1'651,4.6,2'303,4'034,1'731,0,0,0,0,4.6,23'409,39'005,15'596
