Canton,Nationalité,Mois,Janvier 2016,Janvier 2016,Janvier 2016,Janvier 2016,Février 2016,Février 2016,Février 2016,Février 2016,Mars 2016,Mars 2016,Mars 2016,Mars 2016,Avril 2016,Avril 2016,Avril 2016,Avril 2016,Mai 2016,Mai 2016,Mai 2016,Mai 2016,Juin 2016,Juin 2016,Juin 2016,Juin 2016,Juillet 2016,Juillet 2016,Juillet 2016,Juillet 2016,Août 2016,Août 2016,Août 2016,Août 2016,Septembre 2016,Septembre 2016,Septembre 2016,Septembre 2016,Octobre 2016,Octobre 2016,Octobre 2016,Octobre 2016,Novembre 2016,Novembre 2016,Novembre 2016,Novembre 2016,Décembre 2016,Décembre 2016,Décembre 2016,Décembre 2016,Total,Total,Total,Total
 , ,Mesures,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs,Taux de chômage,Chômeurs inscrits,Demandeurs d'emploi,Demandeurs d'emploi non chômeurs
Appenzell Rhodes-Extérieures,Suisses,,1.4,363,580,217,1.5,372,596,224,1.5,377,594,217,1.4,366,585,219,1.3,334,561,227,1.3,330,572,242,1.3,326,591,265,1.4,360,613,253,1.4,351,611,260,1.4,343,600,257,1.4,350,619,269,1.4,360,632,272,1.4,4'232,7'154,2'922
Appenzell Rhodes-Intérieures,Etrangers,,5.3,61,72,11,5.1,59,72,13,3.8,44,62,18,3.7,43,66,23,3.4,39,59,20,2.8,33,54,21,2.9,34,53,19,3.3,38,50,12,3.1,36,50,14,3,35,49,14,4,47,61,14,6.1,71,82,11,3.9,540,730,190
Appenzell Rhodes-Intérieures,Suisses,,0.7,55,77,22,0.7,52,77,25,0.7,54,81,27,0.7,54,85,31,0.7,53,84,31,0.7,54,80,26,0.6,50,76,26,0.7,53,80,27,0.6,50,78,28,0.7,52,79,27,0.8,60,89,29,0.7,55,85,30,0.7,642,971,329
St-Gall,Etrangers,,5.6,3'809,6'029,2'220,5.8,3'897,6'097,2'200,5.5,3'742,6'027,2'285,5.2,3'504,5'740,2'236,5,3'401,5'614,2'213,4.8,3'243,5'470,2'227,4.8,3'217,5'335,2'118,4.8,3'259,5'428,2'169,4.7,3'172,5'496,2'324,4.8,3'224,5'676,2'452,4.9,3'337,5'900,2'563,5.5,3'694,6'121,2'427,5.1,41'499,68'933,27'434
St-Gall,Suisses,,1.8,3'819,6'065,2'246,1.8,3'767,6'046,2'279,1.7,3'586,5'889,2'303,1.7,3'464,5'757,2'293,1.6,3'398,5'719,2'321,1.6,3'258,5'670,2'412,1.6,3'288,5'676,2'388,1.7,3'533,5'726,2'193,1.7,3'459,5'701,2'242,1.7,3'489,5'725,2'236,1.7,3'523,5'810,2'287,1.7,3'625,5'876,2'251,1.7,42'209,69'660,27'451
Grisons,Etrangers,,5.9,1'331,2'210,879,5,1'134,2'170,1'036,4.7,1'050,2'154,1'104,6.9,1'561,2'336,775,5.7,1'286,1'999,713,3.2,722,1'468,746,2.6,592,1'341,749,2.5,559,1'310,751,2.8,639,1'466,827,5,1'115,1'989,874,5.7,1'287,2'260,973,5.6,1'251,2'130,879,4.6,12'527,22'833,10'306
Grisons,Suisses,,1.1,958,1'787,829,1,912,1'774,862,1,858,1'761,903,1.1,956,1'706,750,1.1,934,1'632,698,0.9,804,1'483,679,0.9,777,1'454,677,0.8,741,1'457,716,0.8,740,1'433,693,0.9,752,1'498,746,0.9,813,1'575,762,1,843,1'635,792,1,10'088,19'195,9'107
Argovie,Etrangers,,6.7,5'939,8'024,2'085,6.7,5'957,8'101,2'144,6.5,5'797,8'012,2'215,6.2,5'529,7'751,2'222,6,5'363,7'628,2'265,5.9,5'239,7'535,2'296,5.7,5'073,7'363,2'290,5.7,5'067,7'304,2'237,5.7,5'097,7'361,2'264,5.9,5'234,7'581,2'347,6.2,5'554,7'992,2'438,6.6,5'905,8'227,2'322,6.2,65'754,92'879,27'125
Argovie,Suisses,,2.3,6'372,8'384,2'012,2.3,6'340,8'428,2'088,2.2,6'148,8'286,2'138,2.2,5'976,8'134,2'158,2.2,5'911,8'132,2'221,2.1,5'731,8'058,2'327,2.1,5'728,7'995,2'267,2.2,5'941,8'181,2'240,2.1,5'902,8'185,2'283,2.1,5'889,8'235,2'346,2.2,5'965,8'362,2'397,2.2,6'149,8'450,2'301,2.2,72'052,98'830,26'778
Thurgovie,Etrangers,,5.8,2'193,3'327,1'134,5.8,2'227,3'358,1'131,5.7,2'155,3'324,1'169,5.1,1'947,3'141,1'194,4.8,1'843,3'069,1'226,4.5,1'732,2'917,1'185,4.3,1'637,2'813,1'176,4.2,1'611,2'779,1'168,4.3,1'644,2'842,1'198,4.3,1'655,2'899,1'244,4.6,1'752,3'058,1'306,5.1,1'940,3'198,1'258,4.9,22'336,36'725,14'389
