,Unnamed: 0,conflictid,location,sidea,side b,sidebid,incomp,terr,year,intensity,cumint,type,start_month,ependdate,region,ISO2,decolonisation_year,colonizer
693,693,263,Angola,Portugal,"FNLA, MPLA","566, 405",1,Angola,1969,1,1,1,2,,4,AO,1975,Portugal
694,694,263,Angola,Portugal,"FNLA, MPLA","566, 405",1,Angola,1970,1,1,1,2,,4,AO,1975,Portugal
695,695,263,Angola,Portugal,"FNLA, MPLA","566, 405",1,Angola,1971,1,1,1,2,,4,AO,1975,Portugal
696,696,263,Angola,Portugal,"FNLA, MPLA","566, 405",1,Angola,1972,1,1,1,2,,4,AO,1975,Portugal
697,697,263,Angola,Portugal,"FNLA, MPLA","566, 405",1,Angola,1973,1,1,1,2,,4,AO,1975,Portugal
698,698,263,Angola,Portugal,"FNLA, MPLA","566, 405",1,Angola,1974,1,1,1,2,1974-10-21,4,AO,1975,Portugal
787,787,270,France,France,OAS,259,2,France,1961,2,1,3,4,,1,FR,1776,France
788,788,270,France,France,OAS,259,2,France,1962,2,1,3,4,1962-06-30,1,FR,1776,France
821,821,272,"France, Tunisia",France,Government of Tunisia,110,1,Bizerte,1961,2,1,2,7,1961-07-22,"1, 4",FR,1776,France
822,822,273,Brunei,United Kingdom,North Kalimantan Liberation Army,263,1,North Borneo,1962,1,0,1,12,1962-12-31,3,BN,1867,United Kingdom
858,858,279,Guinea-Bissau,Portugal,PAIGC,417,1,Guinea-Bissau,1963,1,0,1,2,,4,GW,1975,Portugal
859,859,279,Guinea-Bissau,Portugal,PAIGC,417,1,Guinea-Bissau,1964,1,0,1,2,,4,GW,1975,Portugal
860,860,279,Guinea-Bissau,Portugal,PAIGC,417,1,Guinea-Bissau,1965,1,1,1,2,,4,GW,1975,Portugal
861,861,279,Guinea-Bissau,Portugal,PAIGC,417,1,Guinea-Bissau,1966,1,1,1,2,,4,GW,1975,Portugal
862,862,279,Guinea-Bissau,Portugal,PAIGC,417,1,Guinea-Bissau,1967,1,1,1,2,,4,GW,1975,Portugal
863,863,279,Guinea-Bissau,Portugal,PAIGC,417,1,Guinea-Bissau,1968,1,1,1,2,,4,GW,1975,Portugal
864,864,279,Guinea-Bissau,Portugal,PAIGC,417,1,Guinea-Bissau,1969,1,1,1,2,,4,GW,1975,Portugal
865,865,279,Guinea-Bissau,Portugal,PAIGC,417,1,Guinea-Bissau,1970,1,1,1,2,,4,GW,1975,Portugal
866,866,279,Guinea-Bissau,Portugal,PAIGC,417,1,Guinea-Bissau,1971,1,1,1,2,,4,GW,1975,Portugal
867,867,279,Guinea-Bissau,Portugal,PAIGC,417,1,Guinea-Bissau,1972,1,1,1,2,,4,GW,1975,Portugal
868,868,279,Guinea-Bissau,Portugal,PAIGC,417,1,Guinea-Bissau,1973,1,1,1,2,1973-12-31,4,GW,1975,Portugal
906,906,285,Mozambique,Portugal,Frelimo,428,1,Mozambique,1964,1,0,1,11,,4,MZ,1975,Portugal
907,907,285,Mozambique,Portugal,Frelimo,428,1,Mozambique,1965,1,0,1,11,,4,MZ,1975,Portugal
908,908,285,Mozambique,Portugal,Frelimo,428,1,Mozambique,1966,1,1,1,11,,4,MZ,1975,Portugal
909,909,285,Mozambique,Portugal,Frelimo,428,1,Mozambique,1967,1,1,1,11,,4,MZ,1975,Portugal
910,910,285,Mozambique,Portugal,Frelimo,428,1,Mozambique,1968,1,1,1,11,,4,MZ,1975,Portugal
911,911,285,Mozambique,Portugal,Frelimo,428,1,Mozambique,1969,1,1,1,11,,4,MZ,1975,Portugal
912,912,285,Mozambique,Portugal,Frelimo,428,1,Mozambique,1970,1,1,1,11,,4,MZ,1975,Portugal
913,913,285,Mozambique,Portugal,Frelimo,428,1,Mozambique,1971,1,1,1,11,,4,MZ,1975,Portugal
914,914,285,Mozambique,Portugal,Frelimo,428,1,Mozambique,1972,2,1,1,11,,4,MZ,1975,Portugal
915,915,285,Mozambique,Portugal,Frelimo,428,1,Mozambique,1973,2,1,1,11,,4,MZ,1975,Portugal
916,916,285,Mozambique,Portugal,Frelimo,428,1,Mozambique,1974,1,1,1,11,1974-09-07,4,MZ,1975,Portugal
917,917,286,Yemen,United Kingdom,FLOSY,265,1,Aden/South Yemen,1964,1,0,1,11,,2,YE,1867,United Kingdom
918,918,286,Yemen,United Kingdom,FLOSY,265,1,Aden/South Yemen,1965,1,0,1,11,,2,YE,1867,United Kingdom
919,919,286,Yemen,United Kingdom,FLOSY,265,1,Aden/South Yemen,1966,1,0,1,11,,2,YE,1867,United Kingdom
920,920,286,Yemen,United Kingdom,FLOSY,265,1,Aden/South Yemen,1967,1,0,1,11,1967-11-29,2,YE,1867,United Kingdom
1293,1293,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1971,1,0,3,8,,1,GB,1867,United Kingdom
1294,1294,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1972,1,0,3,8,,1,GB,1867,United Kingdom
1295,1295,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1973,1,0,3,8,,1,GB,1867,United Kingdom
1296,1296,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1974,1,0,3,8,,1,GB,1867,United Kingdom
1297,1297,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1975,1,0,3,8,,1,GB,1867,United Kingdom
1298,1298,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1976,1,0,3,8,,1,GB,1867,United Kingdom
1299,1299,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1977,1,0,3,8,,1,GB,1867,United Kingdom
1300,1300,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1978,1,1,3,8,,1,GB,1867,United Kingdom
1301,1301,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1979,1,1,3,8,,1,GB,1867,United Kingdom
1302,1302,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1980,1,1,3,8,,1,GB,1867,United Kingdom
1303,1303,315,United Kingdom,United Kingdom,PIRA,282,1,Northern Ireland,1981,1,1,3,8,,1,GB,1867,United Kingdom
